Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
WM,Coventry,331,Riverbank School,Academy Special,10047505,131375,20,20,0,0,0,0,"200,000","2,146","2,146",0,0,0,0,"202,146"
SE,Medway,887,Rivermead School,Academy Special,10055167,133106,43,43,0,0,0,0,"430,000","4,613","4,613",0,0,0,0,"434,613"
GL,Hounslow,313,Rivers Academy West London,Academy,10034544,120009,108,0,"496,386","19,976",0,0,0,"12,159","12,159",0,0,0,0,"508,545"
NW,Halton,876,Riverside College Halton,General FE and Tertiary,10002863,106896,"3,223",124,"14,666,390","2,285,723",34,0,"744,000","703,885","523,971","179,914","298,500","26,400",0,"16,439,175"
GL,Barking and Dagenham,301,Riverside School,Free School,10042052,123355,87,0,"432,907","38,524",1,0,0,"9,333","9,333",0,0,0,0,"442,240"
EE,Suffolk,935,RIVERWALK SCHOOL,Academy Special,10082199,141361,8,8,0,0,0,0,"80,000",858,858,0,0,0,0,"80,858"
NW,Bolton,350,Rivington and Blackrod High School,Academy,10061803,134485,224,2,"914,934","67,437",0,0,"12,000","26,253","26,253",0,"2,500",0,0,"955,687"
EM,Leicestershire,855,RNIB College Loughborough,Special Post-16 Institution,10027384,109725,78,78,"410,421","87,164",7,"-7,368","468,000","14,453","7,872","6,581",0,0,0,"885,506"
YH,Rotherham,372,RNN Group,General FE and Tertiary,10005534,108493,"3,022",165,"14,191,966","2,404,451",177,0,"990,000","641,964","441,909","200,055","358,750",0,0,"16,182,680"
EE,Hertfordshire,919,Robert Barclay Academy,Academy,10057558,134529,66,0,"299,301","15,588",0,0,0,"6,315","6,315",0,0,0,0,"305,617"
GL,Barking and Dagenham,301,Robert Clack School,School Sixth Form,10005499,113867,322,0,"1,619,200","144,308",0,0,0,"41,204","41,204",0,0,"6,000",0,"1,666,403"
NW,Rochdale,354,Rochdale Sixth Form College,Academy,10063421,138453,"1,666",4,"7,411,904","616,971",0,0,"24,000","381,610","304,562","77,048",0,"14,400",0,"7,831,914"
NW,Liverpool,341,Rocket Training Limited,Independent Learning Provider,10005514,106929,173,0,"543,954","160,927",0,0,0,"34,468","34,468",0,"2,500",0,0,"580,921"
YH,Leeds,383,Rodillian Academy,Academy,10037774,120842,177,0,"729,175","36,560",3,0,0,"19,637","19,637",0,0,0,0,"748,812"
EE,Essex,881,Roding Valley High School,Academy,10067759,140592,132,0,"548,783","10,343",4,0,0,"14,161","14,161",0,0,"5,400",0,"568,344"
SE,Kent,886,Romney Resource Centre,Independent Learning Provider,10005521,115411,23,10,"96,763","19,404",2,"-1,628","60,000","6,745","2,184","4,561",0,0,0,"161,880"
YH,Kingston upon Hull City of,810,Ron Dearing UTC,Free School,10064847,132776,205,0,"1,054,977","68,668",0,0,0,"21,992","21,992",0,0,0,0,"1,076,969"
GL,Harrow,310,Rooks Heath College,Academy,10034822,120198,152,0,"696,969","19,613",0,0,0,"14,164","14,164",0,0,0,0,"711,133"
GL,Lambeth,208,Roots and Shoots,Independent Learning Provider,10005522,106794,38,20,"251,395","19,460",0,0,"120,000","5,045","3,534","1,511",0,0,0,"376,441"
SE,Surrey,936,Rosebery School,Academy,10035800,120707,249,2,"1,120,794","6,000",4,0,"12,000","10,277","10,277",0,0,0,0,"1,143,071"
GL,Hillingdon,312,Rosedale College,Academy,10034743,120077,101,0,"483,131","22,457",8,"-6,147",0,"16,722","16,722",0,0,"6,000",0,"499,707"
SE,Southampton,852,Rosewood Free School,Free School Special,10038819,122535,12,12,0,0,0,0,"120,000","1,287","1,287",0,0,0,0,"121,287"
YH,North Yorkshire,815,Rossett School,Academy,10034157,119896,240,0,"975,022","18,356",1,0,0,"17,086","17,086",0,0,"18,000",0,"1,010,108"
YH,Doncaster,371,Rossington All Saints Academy,Academy,10033565,119754,37,1,"176,339","20,500",5,"-1,518","6,000","4,488","4,488",0,0,0,0,"185,309"
YH,Rotherham,372,Rotherham Opportunities College Limited,Special Post-16 Institution,10083399,162269,25,25,"131,545","27,937",0,0,"150,000","4,021","2,682","1,339",0,0,0,"285,566"
YH,Leeds,383,Roundhay School,School Sixth Form,10005537,113669,494,0,"2,136,745","155,819",0,0,0,"55,263","55,263",0,0,"14,400",0,"2,206,409"
EE,Hertfordshire,919,Roundwood Park School,Academy,10034744,119973,305,0,"1,358,553","6,000",0,0,0,"10,861","10,861",0,0,0,0,"1,369,415"
GL,Havering,311,Routes for Life Limited,Special Post-16 Institution,10067684,140989,10,10,"58,932","11,175",0,0,"60,000","1,495","1,073",422,0,0,0,"120,427"
SE,Surrey,936,Royal Alexandra and Albert School,School Sixth Form,10017967,118917,182,0,"819,933","11,702",0,0,0,"19,525","19,525",0,0,"1,200",0,"840,658"
GL,Kingston upon Thames,314,Royal Borough of Kingston Upon Thames Council,Local Authority,10005549,108918,26,4,"103,577","19,133",0,0,"24,000","3,074","3,074",0,0,0,0,"130,652"
GL,Greenwich,203,Royal Greenwich Trust School,University Technical College,10062245,138257,289,0,"1,620,776","207,813",19,"-1,910",0,"31,004","31,004",0,0,0,0,"1,649,870"
SE,Buckinghamshire,825,Royal Latin School,Academy,10035071,120501,411,0,"1,766,911","6,000",0,0,0,"16,167","16,167",0,0,"10,200",0,"1,793,278"
GL,Islington,206,Royal MENCAP Society,Special Post-16 Institution,10005557,114993,103,98,"650,360","115,101",1,"-1,283","588,000","17,425","11,050","6,375",0,0,0,"1,254,502"
WM,Herefordshire,884,Royal National College for The Blind,Special Post-16 Institution,10005558,114874,70,70,"396,102","78,224",1,0,"420,000","7,510","7,510",0,0,600,0,"824,211"
NW,Liverpool,341,Royal School for the Blind (Liverpool),Non-Maintained Special School,10017455,122196,14,14,0,0,0,0,"140,000","1,493","1,493",0,0,0,0,"141,493"
EM,Derby,831,Royal School for the Deaf Derby,Non-Maintained Special School,10010767,122197,34,34,0,0,0,0,"340,000","3,648","3,648",0,0,0,0,"343,648"
NW,Stockport,356,"Royal School, Manchester",Non-Maintained Special School,10030284,123923,19,19,0,0,0,0,"190,000","1,986","1,986",0,0,0,0,"191,986"
SW,Wiltshire,865,Royal Wootton Bassett Academy,Academy,10034160,119911,371,0,"1,490,687","18,773",0,0,0,"17,678","17,678",0,0,"4,200",0,"1,512,566"
YH,Leeds,383,Royds School,School Sixth Form,10005565,113670,66,0,"282,006","36,004",3,0,0,"5,236","5,236",0,0,0,0,"287,242"
WM,Sandwell,333,RSA Academy,Academy,10024208,118675,77,0,"368,894","52,997",1,0,0,"8,901","8,901",0,0,"18,000",0,"395,795"
WM,Warwickshire,937,Rugby High School,Academy,10033240,119632,274,0,"1,090,124","7,984",0,0,0,"9,570","9,570",0,0,600,0,"1,100,293"
GL,Hillingdon,312,Ruislip High School,Academy,10045659,129423,168,0,"747,276","6,000",0,0,0,"18,023","18,023",0,0,"1,800",0,"767,099"
NW,Lancashire,888,Runshaw College,General FE and Tertiary,10005575,108625,"4,906",70,"20,699,290","1,113,922",26,0,"420,000","553,648","420,953","132,695","353,750","81,000",0,"22,107,688"
EM,Nottinghamshire,891,Rushcliffe School,Academy,10037867,122129,306,0,"1,233,638","12,423",1,0,0,"17,581","17,581",0,0,0,0,"1,251,219"
EM,Northamptonshire,928,Rushden Academy,Academy,10067980,141163,144,0,"597,479","30,646",4,0,0,"13,595","13,595",0,0,0,0,"611,073"
SW,Gloucestershire,916,Ruskin Mill College,Special Post-16 Institution,10009031,114875,81,81,"451,000","92,436",0,0,"486,000","8,690","8,690",0,0,0,0,"945,689"
GL,Merton,315,Rutlish School,School Sixth Form,10017396,119185,150,0,"683,549","8,764",0,0,0,"17,880","17,880",0,0,"5,400",0,"706,829"
YH,Calderdale,381,Ryburn Valley High School,Academy,10047143,120558,186,11,"810,488","60,328",1,0,"66,000","25,563","25,563",0,0,0,0,"902,051"
SE,Isle of Wight,921,Ryde Academy,Academy,10034919,119953,121,0,"473,633","25,612",0,0,0,"18,224","18,224",0,0,"12,000",0,"503,857"
WM,Wolverhampton,336,S.Peter's Collegiate Church of England School,Academy,10038217,122401,262,0,"1,080,764","47,069",0,0,0,"15,787","15,787",0,0,0,0,"1,096,551"
SE,West Sussex,938,Sackville School,School Sixth Form,10005610,113359,341,0,"1,337,490","36,909",15,0,0,"21,634","21,634",0,0,0,0,"1,359,124"
NW,Sefton,343,Sacred Heart Catholic College,School Sixth Form,10005611,113514,224,0,"899,044","42,274",0,0,0,"17,089","17,089",0,0,0,0,"916,132"
NE,Newcastle upon Tyne,391,Sacred Heart Catholic High School,Academy,10035956,120896,294,0,"1,256,764","102,445",0,0,0,"37,787","37,787",0,0,"12,600",0,"1,307,151"
GL,Southwark,210,Sacred Heart Catholic School,Academy,10038069,121905,192,0,"1,006,922","74,283",0,0,0,"20,598","20,598",0,0,0,0,"1,027,519"
GL,Hammersmith and Fulham,205,Sacred Heart High School,Academy,10036715,121110,124,0,"617,205","25,178",1,0,0,"13,303","13,303",0,0,0,0,"630,508"
GL,Havering,311,Sacred Heart of Mary Girls' School,Academy,10034778,120233,189,0,"860,068","12,880",0,0,0,"8,088","8,088",0,0,"1,200",0,"869,356"
EE,Essex,881,Saffron Walden County High School,Academy,10033783,119783,651,0,"2,652,420","26,481",1,0,0,"33,154","33,154",0,0,0,0,"2,685,574"
NW,Trafford,358,Saint Ambrose College,Academy,10035808,120533,201,0,"841,348","37,992",0,0,0,"6,044","6,044",0,0,0,0,"847,392"
EM,Derby,831,"Saint Benedict, A Catholic Voluntary Academy",Academy,10038595,122806,157,6,"684,033","69,677",24,"-33,153","36,000","17,456","17,456",0,0,0,0,"704,336"
GL,Wandsworth,212,Saint Cecilia's Church of England School,Academy,10048917,131534,190,3,"879,518","12,102",6,0,"18,000","17,631","17,631",0,0,0,0,"915,149"
SE,Kent,886,Saint George's Church of England School,Academy,10035681,120624,169,0,"682,224","24,485",0,0,0,"13,240","13,240",0,0,0,0,"695,464"
EE,Hertfordshire,919,Saint Joan of Arc Catholic School,Academy,10036755,121078,141,0,"617,370","6,000",0,0,0,"8,404","8,404",0,0,0,0,"625,773"
EE,Hertfordshire,919,Saint Mary's Catholic School,School Sixth Form,10005635,113242,162,0,"711,566","6,000",0,0,0,"7,381","7,381",0,0,"1,800",0,"720,748"
EE,Hertfordshire,919,Saint Michael's Catholic High School,Academy,10036754,121157,173,0,"749,023","6,861",0,0,0,"11,316","11,316",0,0,0,0,"760,339"
NW,Halton,876,Saints Peter and Paul Catholic College,School Sixth Form,10005639,113515,110,0,"474,528","45,319",0,0,0,"10,260","10,260",0,0,0,0,"484,788"
NW,Trafford,358,Sale Grammar School,Academy,10033022,119498,359,0,"1,448,592","20,858",0,0,0,"16,122","16,122",0,0,"6,600",0,"1,471,315"
SE,Surrey,936,"Salesian School, Chertsey",Academy,10057649,134341,351,2,"1,566,871","6,000",0,0,"12,000","16,244","16,244",0,0,"25,200",0,"1,620,315"
NW,Salford,355,Salford City College,General FE and Tertiary,10005032,108406,"4,211",93,"19,343,586","2,840,741",170,0,"558,000","758,386","535,130","223,256",0,0,0,"20,659,972"
SW,Wiltshire,865,Salisbury Sixth Form College,Free School,10046731,130539,312,0,"1,226,721","26,439",0,0,0,"34,366","32,920","1,446",0,"9,600",0,"1,270,687"
SW,Cornwall,908,Saltash.net community school,Academy,10033259,119559,156,2,"598,405","12,277",5,0,"12,000","9,507","9,507",0,0,0,0,"619,912"
EE,Hertfordshire,919,Samuel Ryder Academy,Academy,10038479,121015,31,0,"138,835","6,000",0,0,0,"4,497","4,497",0,0,"4,200",0,"147,532"
EE,Suffolk,935,Samuel Ward Academy,Academy,10032209,119369,133,0,"537,707","12,977",0,0,0,"9,377","9,377",0,0,0,0,"547,084"
EE,Central Bedfordshire,823,Samuel Whitbread Academy,Academy,10036748,119952,434,3,"1,808,399","16,644",0,0,"18,000","22,749","22,749",0,0,"38,400",0,"1,887,548"
EM,Nottinghamshire,891,Samworth Church Academy,Academy,10024132,118654,141,0,"588,331","39,509",9,"-2,633",0,"11,206","11,206",0,0,0,0,"596,904"
NW,Cheshire East,895,Sandbach High School and Sixth Form College,Academy,10032214,119374,281,0,"1,124,598","23,129",0,0,0,"17,568","17,568",0,0,0,0,"1,142,166"
NW,Cheshire East,895,Sandbach School,Free School,10024776,120535,220,3,"880,798","13,487",2,0,"18,000","10,063","10,063",0,0,0,0,"908,861"
SE,Bracknell Forest,867,Sandhurst School,School Sixth Form,10005663,113592,50,0,"226,132","6,000",2,0,0,"2,403","2,403",0,0,600,0,"229,135"
EE,Hertfordshire,919,Sandringham School,Academy,10033225,119628,389,0,"1,707,424","6,000",1,0,0,"20,460","20,460",0,0,"31,200",0,"1,759,084"
WM,Sandwell,333,Sandwell Academy,Academy,10017433,118639,315,0,"1,486,710","135,840",2,0,0,"45,762","45,762",0,0,0,0,"1,532,472"
WM,Sandwell,333,Sandwell College,General FE and Tertiary,10005669,105110,"5,285",100,"24,783,102","5,030,600",184,0,"600,000","1,158,106","872,234","285,872","383,750",0,0,"26,924,959"
SE,Kent,886,Sandwich Technology School,Academy,10032210,119370,174,0,"702,458","44,316",0,0,0,"15,955","15,955",0,0,"2,400",0,"720,813"
EE,Central Bedfordshire,823,Sandy Upper School and Community Sports College,School Sixth Form,10005675,114334,101,0,"419,449","10,645",3,0,0,"5,908","5,908",0,0,"4,800",0,"430,158"
SW,Wiltshire,865,Sarum Academy,Academy,10030993,119238,83,0,"374,316","41,041",0,0,0,"8,439","8,439",0,0,"2,400",0,"385,155"
EE,Cambridgeshire,873,Sawtry Village Academy,Academy,10034849,119974,175,1,"735,190","7,596",0,0,"6,000","11,176","11,176",0,0,"22,800",0,"775,165"
WM,Staffordshire,860,Saxon Hill Academy,Academy Special,10053881,132039,24,24,0,0,0,0,"240,000","2,575","2,575",0,0,0,0,"242,575"
YH,North Yorkshire,815,Scarborough Sixth Form College,Sixth Form College,10005687,108396,999,7,"4,232,901","350,889",7,0,"42,000","147,030","102,960","44,070","56,500",0,0,"4,478,431"
YH,North Yorkshire,815,Scarborough University Technical College,University Technical College,10057026,132778,85,0,"503,310","98,012",2,0,0,"9,119","9,119",0,0,"6,000",0,"518,429"
GL,Newham,316,School 21,Free School,10037498,122021,313,0,"1,633,799","109,499",0,0,0,"33,579","33,579",0,0,"16,200",0,"1,683,577"
SE,Bracknell Forest,867,SCL Education & Training Limited,Independent Learning Provider,10043208,133541,"1,726",0,"8,545,331","1,128,381",46,"-6,801",0,"274,476","239,686","34,790",0,0,0,"8,813,006"
SW,Plymouth,879,Scott Medical and Healthcare College,Studio School,10064843,139629,145,4,"658,376","94,488",11,"-16,600","24,000","15,556","15,556",0,0,0,0,"681,332"
SE,East Sussex,845,Seaford Head School,Academy,10037873,122276,138,0,"538,313","6,000",0,0,0,"14,805","14,805",0,0,"12,600",0,"565,718"
NW,Stockport,356,Seashell Trust,Special Post-16 Institution,10024772,118858,71,71,"373,589","79,341",2,0,"426,000","10,146","6,480","3,666",0,0,0,"809,735"
GL,Lewisham,209,Sedgehill School,School Sixth Form,10005733,113869,28,0,"152,565","18,133",0,0,0,"3,224","3,224",0,0,0,0,"155,789"
EE,Essex,881,Seevic College,General FE and Tertiary,10005736,108340,"3,423",103,"14,776,101","1,171,081",28,0,"618,000","364,860","304,688","60,172","221,250",0,0,"15,980,212"
YH,North Yorkshire,815,Selby College,General FE and Tertiary,10005741,105583,"1,167",30,"4,962,647","414,615",8,0,"180,000","167,150","142,144","25,006","120,250","10,200",0,"5,440,247"
SW,Somerset,933,Selworthy Special School,Academy Special,10082197,140814,16,16,0,0,0,0,"160,000","1,716","1,716",0,0,0,0,"161,716"
EE,Peterborough,874,"SENSE, The National Deaf Blind and Rubella Association",Special Post-16 Institution,10005748,114876,36,36,"193,214","40,229",2,"-1,100","216,000","3,862","3,862",0,0,0,0,"411,976"
EM,Nottinghamshire,891,Serlby Park Academy,Academy,10034949,120141,30,0,"139,058","14,804",0,0,0,"2,576","2,576",0,0,0,0,"141,634"
YH,North Yorkshire,815,Settle College,School Sixth Form,10005763,113410,76,0,"307,751","6,000",0,0,0,"9,014","9,014",0,0,0,0,"316,764"
GL,Redbridge,317,Seven Kings High School,School Sixth Form,10005764,113805,506,0,"2,326,045","79,527",1,0,0,"65,925","65,925",0,0,0,0,"2,391,969"
WM,Shropshire,893,Severndale Specialist Academy,Academy Special,10044500,126347,58,58,0,0,0,0,"580,000","6,222","6,222",0,0,0,0,"586,222"
SW,Somerset,933,Sexey's School,Academy,10034775,120313,109,0,"443,577","6,000",1,0,0,"6,220","6,220",0,0,0,0,"449,797"
SW,Gloucestershire,916,SGS Berkeley Green UTC,University Technical College,10064844,132772,157,0,"751,475","6,000",0,0,0,"16,843","16,843",0,0,0,0,"768,318"
SW,Dorset,838,Shaftesbury School,Academy,10046205,130311,175,0,"724,244","25,974",0,0,0,"13,491","13,491",0,0,0,0,"737,735"
EE,Bedford,822,Sharnbrook Academy,Academy,10032988,119470,500,3,"2,045,257","17,377",0,0,"18,000","20,577","20,577",0,0,0,0,"2,083,833"
YH,Sheffield,373,Sheffield City Council,Local Authority,10002244,112753,245,75,"910,437","162,665",8,0,"450,000","71,893","69,898","1,995",0,0,0,"1,432,331"
YH,Sheffield,373,Sheffield Park Academy,Academy,10017528,118640,160,0,"752,569","119,179",1,0,0,"31,860","31,860",0,0,"17,400",0,"801,829"
SW,Dorset,838,Sheiling Special Education Trust,Special Post-16 Institution,10038981,124210,32,32,"168,378","35,760",0,0,"192,000","14,634","2,575","12,059",0,0,0,"375,012"
SW,Wiltshire,865,Sheldon School,Academy,10033350,119550,357,0,"1,438,685","19,849",16,0,0,"18,352","18,352",0,0,"7,200",0,"1,464,236"
YH,Kirklees,382,Shelley College,Academy,10035022,120454,202,1,"814,325","11,953",0,0,"6,000","11,943","11,943",0,0,0,0,"832,268"
EE,Essex,881,Shenfield High School,Academy,10036380,121067,342,0,"1,431,853","16,951",0,0,0,"17,509","17,509",0,0,600,0,"1,449,962"
WM,Birmingham,330,Shenley Academy,Academy,10028146,119086,69,0,"316,259","48,920",4,0,0,"12,584","12,584",0,0,0,0,"328,843"
SE,Milton Keynes,826,Shenley Brook End School,Academy,10033589,119734,269,0,"1,164,826","12,729",1,0,0,"17,091","17,091",0,0,0,0,"1,181,917"
YH,North Yorkshire,815,Sherburn High School,School Sixth Form,10005804,113411,95,0,"372,464","6,986",0,0,0,"9,187","9,187",0,0,"3,000",0,"384,650"
EE,Norfolk,926,Sheringham High School,Academy,10035662,120646,102,0,"411,102","8,474",0,0,0,"13,396","13,396",0,0,0,0,"424,498"
YH,Bradford,380,Shipley College,General FE and Tertiary,10005810,107170,868,131,"4,098,623","887,865",10,0,"786,000","195,177","135,542","59,635","69,750",0,0,"5,149,549"
WM,Walsall,335,Shire Oak Academy,Academy,10033334,119534,180,0,"740,067","23,401",2,0,0,"18,146","18,146",0,0,0,0,"758,213"
WM,Sandwell,333,Shireland Collegiate Academy,Academy,10021074,118644,241,2,"1,131,163","186,412",0,0,"12,000","29,532","29,532",0,0,0,0,"1,172,694"
GL,Croydon,306,Shirley High School Performing Arts College,Academy,10035985,120742,175,1,"861,116","80,553",14,"-12,338","6,000","18,774","18,774",0,0,"10,800",0,"884,352"
EE,Southend-on-Sea,882,Shoeburyness High School,Academy,10035815,120634,257,0,"1,107,842","72,600",5,0,0,"34,540","34,540",0,0,0,0,"1,142,383"
GL,Greenwich,203,Shooters Hill Sixth Form College,Academy,10039420,122727,"1,090",175,"6,173,628","792,972",22,0,"1,050,000","237,603","126,704","110,899","89,250",0,0,"7,550,481"
SE,West Sussex,938,Shoreham Academy,Academy,10028147,119107,275,0,"1,149,140","101,052",2,0,0,"28,846","28,846",0,0,"10,800",0,"1,188,786"
WM,Shropshire,893,Shrewsbury College Group,Sixth Form College,10005822,108391,"3,241",90,"13,671,299","1,128,925",50,0,"540,000","361,891","318,720","43,171","163,500",0,0,"14,736,691"
SW,Devon,878,Sidmouth College,School Sixth Form,10005833,114788,95,0,"382,543","11,244",0,0,0,"10,752","10,752",0,0,0,0,"393,295"
WM,Coventry,331,Sidney Stringer Academy,Academy,10030456,119196,306,0,"1,502,459","217,708",0,0,0,"37,553","37,553",0,0,"2,400",0,"1,542,412"
YH,Sheffield,373,Silverdale School,Academy,10039996,122404,358,0,"1,460,383","34,182",2,0,0,"23,609","23,609",0,0,"7,800",0,"1,491,792"
EM,Northamptonshire,928,Silverstone UTC,University Technical College,10041717,122050,201,0,"967,309","33,720",18,"-10,406",0,"21,563","21,563",0,0,0,0,"978,466"
EE,Hertfordshire,919,Simon Balle All-Through School,Academy,10043914,121196,303,0,"1,355,198","42,268",1,0,0,"14,312","14,312",0,0,"3,000",0,"1,372,510"
SE,Kent,886,Simon Langton Girls' Grammar School,School Sixth Form,10005848,114049,268,0,"1,068,900","10,541",1,0,0,"14,344","14,344",0,0,"7,800",0,"1,091,043"
SE,Kent,886,Simon Langton Grammar School for Boys,School Sixth Form,10005849,114050,453,0,"1,849,084","27,066",0,0,0,"26,580","26,580",0,0,0,0,"1,875,664"
SW,South Gloucestershire,803,Sir Bernard Lovell Academy,Academy,10048237,127704,75,2,"318,499","14,972",0,0,"12,000","6,037","6,037",0,0,"6,000",0,"342,536"
EM,Northamptonshire,928,Sir Christopher Hatton Academy,Academy,10036614,121109,179,3,"743,308","32,928",0,0,"18,000","14,434","14,434",0,0,"22,200",0,"797,943"
